episode,time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision
54,30,material_delivery,52.07280816201103,3,red,0.1,True,False
54,45,packaging,68.12280816201103,4,red,0.1,True,False
55,0,rest,28.726483742899667,2,green,5.0,False,False
55,15,hmi_supervision,38.77648374289967,2,orange,2.0,False,False
55,30,material_delivery,52.726483742899674,3,red,0.1,True,False
55,45,packaging,68.77648374289967,4,red,0.1,True,False
56,0,rest,27.473460179591985,2,green,5.0,False,False
56,15,hmi_supervision,37.523460179591986,2,orange,2.0,False,False
56,30,material_delivery,51.47346017959199,3,red,0.1,True,False
56,45,packaging,67.52346017959199,4,red,0.1,True,False
57,0,rest,27.754253390051673,2,green,5.0,False,False
57,15,hmi_supervision,37.80425339005167,2,orange,2.0,False,False
57,30,material_delivery,51.75425339005167,3,red,0.1,True,False
57,45,packaging,67.80425339005167,4,red,0.1,True,False
58,0,rest,28.22209020779843,2,green,5.0,False,False
58,15,hmi_supervision,38.27209020779843,2,orange,2.0,False,False
58,30,material_delivery,52.22209020779843,3,red,0.1,True,False
58,45,packaging,68.27209020779843,4,red,0.1,True,True
59,0,rest,28.195791454134916,2,green,5.0,False,False
59,15,hmi_supervision,38.24579145413492,2,orange,2.0,False,False
59,30,material_delivery,52.19579145413492,3,red,0.1,True,False
59,45,packaging,68.24579145413492,4,red,0.1,True,False
60,0,rest,26.93847194346219,2,green,5.0,False,False
60,15,hmi_supervision,36.98847194346219,2,orange,2.0,False,False
60,30,material_delivery,50.93847194346219,3,red,0.1,True,False
60,45,packaging,66.98847194346219,4,red,0.1,True,False
61,0,rest,27.684516007925982,2,green,5.0,False,False
61,15,hmi_supervision,37.73451600792598,2,orange,2.0,False,False
61,30,material_delivery,51.684516007925986,3,red,0.1,True,False
61,45,packaging,67.73451600792599,4,red,0.1,True,False
62,0,rest,27.879035716250492,2,green,5.0,False,False
62,15,hmi_supervision,37.929035716250496,2,orange,2.0,False,False
62,30,material_delivery,51.8790357162505,3,red,0.1,True,False
62,45,packaging,67.9290357162505,4,red,0.1,True,False
63,0,rest,28.303038142610905,2,green,5.0,False,False
63,15,hmi_supervision,38.353038142610906,2,orange,2.0,False,False
63,30,material_delivery,52.30303814261091,3,red,0.1,True,False
63,45,packaging,68.35303814261091,4,red,0.1,True,False
64,0,rest,28.193162793042074,2,green,5.0,False,False
64,15,hmi_supervision,38.243162793042075,2,orange,2.0,False,False
64,30,material_delivery,52.19316279304208,3,red,0.1,True,False
64,45,packaging,68.24316279304207,4,red,0.1,True,False
65,0,rest,27.944165563175375,2,green,5.0,False,False
65,15,hmi_supervision,37.99416556317537,2,orange,2.0,False,False
65,30,material_delivery,51.944165563175375,3,red,0.1,True,False
65,45,packaging,67.99416556317537,4,red,0.1,True,False
66,0,rest,26.56092158852572,2,green,5.0,False,False
66,15,hmi_supervision,36.61092158852572,2,orange,2.0,False,False
66,30,material_delivery,50.56092158852572,3,red,0.1,True,False
66,45,packaging,66.61092158852573,4,red,0.1,True,False
67,0,rest,27.980114593413088,2,green,5.0,False,False
67,15,hmi_supervision,38.03011459341309,2,orange,2.0,False,False
67,30,material_delivery,51.98011459341309,3,red,0.1,True,False
67,45,packaging,68.03011459341309,4,red,0.1,True,False
68,0,rest,28.04517265745577,2,green,5.0,False,False
68,15,hmi_supervision,38.09517265745577,2,orange,2.0,False,False
68,30,material_delivery,52.04517265745577,3,red,0.1,True,False
68,45,packaging,68.09517265745578,4,red,0.1,True,False
69,0,rest,29.847431584363964,2,green,5.0,False,False
69,15,hmi_supervision,39.897431584363964,2,orange,2.0,False,False
69,30,material_delivery,53.84743158436397,3,red,0.1,True,False
69,45,packaging,69.89743158436397,4,red,0.1,True,False
70,0,rest,27.85572927641416,2,green,5.0,False,False
70,15,hmi_supervision,37.905729276414164,2,orange,2.0,False,False
70,30,material_delivery,51.855729276414166,3,red,0.1,True,False
70,45,packaging,67.90572927641416,4,red,0.1,True,False
71,0,rest,28.226160506750208,2,green,5.0,False,False
71,15,hmi_supervision,38.27616050675021,2,orange,2.0,False,False
71,30,material_delivery,52.22616050675021,3,red,0.1,True,False
71,45,packaging,68.27616050675022,4,red,0.1,True,False
72,0,rest,28.857117110886264,2,green,5.0,False,False
72,15,hmi_supervision,38.90711711088626,2,orange,2.0,False,False
72,30,material_delivery,52.857117110886264,3,red,0.1,True,False
72,45,packaging,68.90711711088626,4,red,0.1,True,False
73,0,rest,28.56394977451508,2,green,5.0,False,False
73,15,hmi_supervision,38.61394977451508,2,orange,2.0,False,False
73,30,material_delivery,52.56394977451508,3,red,0.1,True,False
73,45,packaging,68.61394977451508,4,red,0.1,True,False
74,0,rest,29.052095733202073,2,green,5.0,False,False
74,15,hmi_supervision,39.10209573320208,2,orange,2.0,False,False
74,30,material_delivery,53.05209573320208,3,red,0.1,True,False
74,45,packaging,69.10209573320208,4,red,0.1,True,False
75,0,rest,26.94861170290579,2,green,5.0,False,False
75,15,hmi_supervision,36.99861170290579,2,orange,2.0,False,False
75,30,material_delivery,50.948611702905794,3,red,0.1,True,False
75,45,packaging,66.99861170290579,4,red,0.1,True,False
76,0,rest,27.257097756151985,2,green,5.0,False,False
76,15,hmi_supervision,37.30709775615199,2,orange,2.0,False,False
76,30,material_delivery,51.25709775615199,3,red,0.1,True,False
76,45,packaging,67.30709775615199,4,red,0.1,True,False
77,0,rest,27.57527670279792,2,green,5.0,False,False
77,15,hmi_supervision,37.62527670279792,2,orange,2.0,False,False
77,30,material_delivery,51.57527670279792,3,red,0.1,True,False
77,45,packaging,67.62527670279792,4,red,0.1,True,False
78,0,rest,26.8370024267004,2,green,5.0,False,False
78,15,hmi_supervision,36.887002426700406,2,orange,2.0,False,False
78,30,material_delivery,50.83700242670041,3,red,0.1,True,False
78,45,packaging,66.8870024267004,4,red,0.1,True,False
79,0,rest,28.05142223110452,2,green,5.0,False,False
79,15,hmi_supervision,38.10142223110452,2,orange,2.0,False,False
79,30,material_delivery,52.051422231104524,3,red,0.1,True,False
79,45,packaging,68.10142223110452,4,red,0.1,True,False
80,0,rest,27.31043182432465,2,green,5.0,False,False
80,15,hmi_supervision,37.36043182432465,2,orange,2.0,False,False
80,30,material_delivery,51.31043182432465,3,red,0.1,True,False
80,45,packaging,67.36043182432465,4,red,0.1,True,False
81,0,rest,29.162450803763154,2,green,5.0,False,False
81,15,hmi_supervision,39.212450803763154,2,orange,2.0,False,False
81,30,material_delivery,53.16245080376316,3,red,0.1,True,False
81,45,packaging,69.21245080376316,4,red,0.1,True,False
82,0,rest,27.412560030747823,2,green,5.0,False,False
82,15,hmi_supervision,37.462560030747824,2,orange,2.0,False,False
82,30,material_delivery,51.41256003074783,3,red,0.1,True,False
82,45,packaging,67.46256003074782,4,red,0.1,True,False
83,0,rest,27.758453862845744,2,green,5.0,False,False
83,15,hmi_supervision,37.808453862845745,2,orange,2.0,False,False
83,30,material_delivery,51.75845386284575,3,red,0.1,True,False
83,45,packaging,67.80845386284575,4,red,0.1,True,False
84,0,rest,28.610137913027252,2,green,5.0,False,False
84,15,hmi_supervision,38.660137913027256,2,orange,2.0,False,False
84,30,material_delivery,52.61013791302726,3,red,0.1,True,False
84,45,packaging,68.66013791302726,4,red,0.1,True,False
85,0,rest,27.076851762674533,2,green,5.0,False,False
85,15,hmi_supervision,37.126851762674534,2,orange,2.0,False,False
85,30,material_delivery,51.076851762674536,3,red,0.1,True,False
85,45,packaging,67.12685176267453,4,red,0.1,True,False
86,0,rest,26.794387574079078,2,green,5.0,False,False
86,15,hmi_supervision,36.84438757407908,2,orange,2.0,False,False
86,30,material_delivery,50.79438757407908,3,red,0.1,True,False
86,45,packaging,66.84438757407908,4,red,0.1,True,False
87,0,rest,28.138475393899228,2,green,5.0,False,False
87,15,hmi_supervision,38.188475393899225,2,orange,2.0,False,False
87,30,material_delivery,52.13847539389923,3,red,0.1,True,False
87,45,packaging,68.18847539389922,4,red,0.1,True,False
88,0,rest,28.194912095686316,2,green,5.0,False,False
88,15,hmi_supervision,38.24491209568632,2,orange,2.0,False,False
88,30,material_delivery,52.19491209568632,3,red,0.1,True,False
88,45,packaging,68.24491209568632,4,red,0.1,True,False
89,0,rest,28.58636715383298,2,green,5.0,False,False
89,15,hmi_supervision,38.63636715383298,2,orange,2.0,False,False
89,30,material_delivery,52.58636715383298,3,red,0.1,True,False
89,45,packaging,68.63636715383298,4,red,0.1,True,False
90,0,rest,28.391456174212674,2,green,5.0,False,False
90,15,hmi_supervision,38.441456174212675,2,orange,2.0,False,False
90,30,material_delivery,52.39145617421268,3,red,0.1,True,False
90,45,packaging,68.44145617421268,4,red,0.1,True,False
91,0,rest,28.22273850492489,2,green,5.0,False,False
91,15,hmi_supervision,38.27273850492489,2,orange,2.0,False,False
91,30,material_delivery,52.22273850492489,3,red,0.1,True,False
91,45,packaging,68.27273850492489,4,red,0.1,True,False
92,0,rest,27.489981458816132,2,green,5.0,False,False
92,15,hmi_supervision,37.53998145881613,2,orange,2.0,False,False
92,30,material_delivery,51.48998145881613,3,red,0.1,True,False
92,45,packaging,67.53998145881613,4,red,0.1,True,False
93,0,rest,28.174190272870753,2,green,5.0,False,False
93,15,hmi_supervision,38.22419027287076,2,orange,2.0,False,False
93,30,material_delivery,52.17419027287076,3,red,0.1,True,False
93,45,packaging,68.22419027287076,4,red,0.1,True,False
94,0,rest,28.21980435497401,2,green,5.0,False,False
94,15,hmi_supervision,38.26980435497401,2,orange,2.0,False,False
94,30,material_delivery,52.219804354974016,3,red,0.1,True,False
94,45,packaging,68.26980435497401,4,red,0.1,True,True
95,0,rest,27.464236436480224,2,green,5.0,False,False
95,15,hmi_supervision,37.514236436480225,2,orange,2.0,False,False
95,30,material_delivery,51.46423643648023,3,red,0.1,True,False
95,45,packaging,67.51423643648023,4,red,0.1,True,False
96,0,rest,29.399330883358566,2,green,5.0,False,False
96,15,hmi_supervision,39.44933088335857,2,orange,2.0,False,False
96,30,material_delivery,53.39933088335857,3,red,0.1,True,False
96,45,packaging,69.44933088335857,4,red,0.1,True,False
97,0,rest,28.355374690683842,2,green,5.0,False,False
97,15,hmi_supervision,38.40537469068384,2,orange,2.0,False,False
97,30,material_delivery,52.355374690683846,3,red,0.1,True,False
97,45,packaging,68.40537469068384,4,red,0.1,True,False
98,0,rest,27.26898874732951,2,green,5.0,False,False
98,15,hmi_supervision,37.31898874732951,2,orange,2.0,False,False
98,30,material_delivery,51.268988747329516,3,red,0.1,True,False
98,45,packaging,67.31898874732951,4,red,0.1,True,False
99,0,rest,28.59031345280684,2,green,5.0,False,False
99,15,hmi_supervision,38.640313452806836,2,orange,2.0,False,False
99,30,material_delivery,52.59031345280684,3,red,0.1,True,False
99,45,packaging,68.64031345280684,4,red,0.1,True,False
100,0,rest,28.722532096933243,2,green,5.0,False,False
100,15,hmi_supervision,38.77253209693325,2,orange,2.0,False,False
100,30,material_delivery,52.72253209693325,3,red,0.1,True,False
100,45,packaging,68.77253209693325,4,red,0.1,True,False
101,0,rest,28.309585695202372,2,green,5.0,False,False
101,15,hmi_supervision,38.35958569520237,2,orange,2.0,False,False
101,30,material_delivery,52.30958569520237,3,red,0.1,True,False
101,45,packaging,68.35958569520237,4,red,0.1,True,False
102,0,rest,27.815958912997846,2,green,5.0,False,False
102,15,hmi_supervision,37.86595891299785,2,orange,2.0,False,False
102,30,material_delivery,51.81595891299785,3,red,0.1,True,False
102,45,packaging,67.86595891299785,4,red,0.1,True,False
103,0,rest,27.43469787673188,2,green,5.0,False,False
103,15,hmi_supervision,37.484697876731886,2,orange,2.0,False,False
103,30,material_delivery,51.43469787673189,3,red,0.1,True,False
103,45,packaging,67.48469787673189,4,red,0.1,True,False
104,0,rest,27.942173717939422,2,green,5.0,False,False
104,15,hmi_supervision,37.99217371793942,2,orange,2.0,False,False
104,30,material_delivery,51.942173717939426,3,red,0.1,True,False
104,45,packaging,67.99217371793942,4,red,0.1,True,False
105,0,rest,28.255863981112483,2,green,5.0,False,False
105,15,hmi_supervision,38.30586398111248,2,orange,2.0,False,False
105,30,material_delivery,52.25586398111248,3,red,0.1,True,False
105,45,packaging,68.30586398111248,4,red,0.1,True,False
106,0,rest,28.00975141890843,2,green,5.0,False,False
106,15,hmi_supervision,38.059751418908434,2,orange,2.0,False,False
106,30,material_delivery,52.00975141890844,3,red,0.1,True,False
106,45,packaging,68.05975141890843,4,red,0.1,True,False
107,0,rest,29.090150557867986,2,green,5.0,False,False
107,15,hmi_supervision,39.14015055786798,2,orange,2.0,False,False
107,30,material_delivery,53.090150557867986,3,red,0.1,True,False
107,45,packaging,69.14015055786798,4,red,0.1,True,False
108,0,rest,28.469250510823755,2,green,5.0,False,False
